symbol,yahoo_symbol,name,series,isin,industry,source,as_of
20MICRONS,20MICRONS.NS,20 Microns Limited,EQ,INE144J01027,,local_data_nse_equity_list,2026-04-29
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,EQ,INE253B01015,,local_data_nse_equity_list,2026-04-29
360ONE,360ONE.NS,360 ONE WAM LIMITED,EQ,INE466L01038,,local_data_nse_equity_list,2026-04-29
3BBLACKBIO,3BBLACKBIO.NS,3B Blackbio Dx Limited,EQ,INE994E01018,,local_data_nse_equity_list,2026-04-29
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,EQ,INE748C01038,,local_data_nse_equity_list,2026-04-29
3MINDIA,3MINDIA.NS,3M India Limited,EQ,INE470A01017,,local_data_nse_equity_list,2026-04-29
3PLAND,3PLAND.NS,3P Land Holdings Limited,EQ,INE105C01023,,local_data_nse_equity_list,2026-04-29
5PAISA,5PAISA.NS,5Paisa Capital Limited,EQ,INE618L01018,,local_data_nse_equity_list,2026-04-29
63MOONS,63MOONS.NS,63 moons technologies limited,EQ,INE111B01023,,local_data_nse_equity_list,2026-04-29
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,BE,INE619I01012,,local_data_nse_equity_list,2026-04-29
AAATECH,AAATECH.NS,AAA Technologies Limited,EQ,INE0D0U01013,,local_data_nse_equity_list,2026-04-29
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,EQ,INE883F01010,,local_data_nse_equity_list,2026-04-29
AAKASH,AAKASH.NS,Aakash Exploration Services Limited,BE,INE087Z01024,,local_data_nse_equity_list,2026-04-29
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,EQ,INE198H01019,,local_data_nse_equity_list,2026-04-29
AARNAV,AARNAV.NS,Aarnav Fashions Limited,EQ,INE750R01016,,local_data_nse_equity_list,2026-04-29
AARON,AARON.NS,Aaron Industries Limited,EQ,INE721Z01010,,local_data_nse_equity_list,2026-04-29
AARTECH,AARTECH.NS,Aartech Solonics Limited,EQ,INE01C001026,,local_data_nse_equity_list,2026-04-29
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,INE767A01016,,local_data_nse_equity_list,2026-04-29
AARTIIND,AARTIIND.NS,Aarti Industries Limited,EQ,INE769A01020,,local_data_nse_equity_list,2026-04-29
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,INE0LRU01027,,local_data_nse_equity_list,2026-04-29
AARTISURF,AARTISURF.NS,Aarti Surfactants Limited,EQ,INE09EO01013,,local_data_nse_equity_list,2026-04-29
AARVI,AARVI.NS,Aarvi Encon Limited,EQ,INE754X01016,,local_data_nse_equity_list,2026-04-29
AAVAS,AAVAS.NS,Aavas Financiers Limited,EQ,INE216P01012,,local_data_nse_equity_list,2026-04-29
ABANSENT,ABANSENT.NS,Abans Enterprises Limited,EQ,INE365O01028,,local_data_nse_equity_list,2026-04-29
ABB,ABB.NS,ABB India Limited,EQ,INE117A01022,,local_data_nse_equity_list,2026-04-29
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,EQ,INE358A01014,,local_data_nse_equity_list,2026-04-29
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,INE674K01013,,local_data_nse_equity_list,2026-04-29
ABCOTS,ABCOTS.NS,A B Cotspin India Limited,EQ,INE08PH01015,,local_data_nse_equity_list,2026-04-29
ABDL,ABDL.NS,Allied Blenders and Distillers Limited,EQ,INE552Z01027,,local_data_nse_equity_list,2026-04-29
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011,,local_data_nse_equity_list,2026-04-29
ABINFRA,ABINFRA.NS,A B Infrabuild Limited,EQ,INE00YB01025,,local_data_nse_equity_list,2026-04-29
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,EQ,INE14LE01019,,local_data_nse_equity_list,2026-04-29
ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited,BE,INE251C01025,,local_data_nse_equity_list,2026-04-29
ABMKNO,ABMKNO.NS,ABM Knowledgeware Limited,EQ,INE850B01026,,local_data_nse_equity_list,2026-04-29
ABREL,ABREL.NS,Aditya Birla Real Estate Limited,EQ,INE055A01016,,local_data_nse_equity_list,2026-04-29
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024,,local_data_nse_equity_list,2026-04-29
ACC,ACC.NS,ACC Limited,EQ,INE012A01025,,local_data_nse_equity_list,2026-04-29
