symbol,yahoo_symbol,name,series,isin,industry,source,as_of
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,EQ,INE423A01024,Metals & Mining,niftyindices_ind_nifty50list,2026-04-29
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,EQ,INE742F01042,Services,niftyindices_ind_nifty50list,2026-04-29
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,EQ,INE437A01024,Healthcare,niftyindices_ind_nifty50list,2026-04-29
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,EQ,INE021A01026,Consumer Durables,niftyindices_ind_nifty50list,2026-04-29
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,EQ,INE238A01034,Financial Services,niftyindices_ind_nifty50list,2026-04-29
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,EQ,INE917I01010,Automobile and Auto Components,niftyindices_ind_nifty50list,2026-04-29
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,EQ,INE918I01026,Financial Services,niftyindices_ind_nifty50list,2026-04-29
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,EQ,INE296A01032,Financial Services,niftyindices_ind_nifty50list,2026-04-29
BEL,BEL.NS,Bharat Electronics Ltd.,EQ,INE263A01024,Capital Goods,niftyindices_ind_nifty50list,2026-04-29
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,EQ,INE397D01024,Telecommunication,niftyindices_ind_nifty50list,2026-04-29
CIPLA,CIPLA.NS,Cipla Ltd.,EQ,INE059A01026,Healthcare,niftyindices_ind_nifty50list,2026-04-29
COALINDIA,COALINDIA.NS,Coal India Ltd.,EQ,INE522F01014,Oil Gas & Consumable Fuels,niftyindices_ind_nifty50list,2026-04-29
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,EQ,INE089A01031,Healthcare,niftyindices_ind_nifty50list,2026-04-29
EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,EQ,INE066A01021,Automobile and Auto Components,niftyindices_ind_nifty50list,2026-04-29
ETERNAL,ETERNAL.NS,Eternal Ltd.,EQ,INE758T01015,Consumer Services,niftyindices_ind_nifty50list,2026-04-29
GRASIM,GRASIM.NS,Grasim Industries Ltd.,EQ,INE047A01021,Construction Materials,niftyindices_ind_nifty50list,2026-04-29
HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,EQ,INE860A01027,Information Technology,niftyindices_ind_nifty50list,2026-04-29
HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,EQ,INE040A01034,Financial Services,niftyindices_ind_nifty50list,2026-04-29
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,EQ,INE795G01014,Financial Services,niftyindices_ind_nifty50list,2026-04-29
HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,EQ,INE038A01020,Metals & Mining,niftyindices_ind_nifty50list,2026-04-29
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,EQ,INE030A01027,Fast Moving Consumer Goods,niftyindices_ind_nifty50list,2026-04-29
ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,EQ,INE090A01021,Financial Services,niftyindices_ind_nifty50list,2026-04-29
