symbol,yahoo_symbol,name,series,isin,listed_on
20MICRONS,20MICRONS.NS,20 Microns Limited,EQ,INE144J01027,06-OCT-2008
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,EQ,INE253B01015,03-MAY-1995
360ONE,360ONE.NS,360 ONE WAM LIMITED,EQ,INE466L01038,19-SEP-2019
3BBLACKBIO,3BBLACKBIO.NS,3B Blackbio Dx Limited,EQ,INE994E01018,20-APR-2026
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,EQ,INE748C01038,22-OCT-2021
3MINDIA,3MINDIA.NS,3M India Limited,EQ,INE470A01017,13-AUG-2004
3PLAND,3PLAND.NS,3P Land Holdings Limited,EQ,INE105C01023,19-JUL-1995
5PAISA,5PAISA.NS,5Paisa Capital Limited,EQ,INE618L01018,16-NOV-2017
63MOONS,63MOONS.NS,63 moons technologies limited,EQ,INE111B01023,20-JUN-2005
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,BE,INE619I01012,23-DEC-2010
AAATECH,AAATECH.NS,AAA Technologies Limited,EQ,INE0D0U01013,28-NOV-2022
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,EQ,INE883F01010,15-MAY-2024
AAKASH,AAKASH.NS,Aakash Exploration Services Limited,BE,INE087Z01024,29-SEP-2020
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,EQ,INE198H01019,06-AUG-2021
AARNAV,AARNAV.NS,Aarnav Fashions Limited,EQ,INE750R01016,25-FEB-2026
AARON,AARON.NS,Aaron Industries Limited,EQ,INE721Z01010,06-NOV-2020
AARTECH,AARTECH.NS,Aartech Solonics Limited,EQ,INE01C001026,10-JUL-2023
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,INE767A01016,19-SEP-2003
AARTIIND,AARTIIND.NS,Aarti Industries Limited,EQ,INE769A01020,08-FEB-1995
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,INE0LRU01027,30-JAN-2023
AARTISURF,AARTISURF.NS,Aarti Surfactants Limited,EQ,INE09EO01013,14-JUL-2020
AARVI,AARVI.NS,Aarvi Encon Limited,EQ,INE754X01016,24-JUN-2020
AAVAS,AAVAS.NS,Aavas Financiers Limited,EQ,INE216P01012,08-OCT-2018
ABANSENT,ABANSENT.NS,Abans Enterprises Limited,EQ,INE365O01028,20-APR-2026
ABB,ABB.NS,ABB India Limited,EQ,INE117A01022,08-FEB-1995
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,EQ,INE358A01014,08-JAN-2010
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,INE674K01013,01-SEP-2017
ABCOTS,ABCOTS.NS,A B Cotspin India Limited,EQ,INE08PH01015,24-SEP-2025
ABDL,ABDL.NS,Allied Blenders and Distillers Limited,EQ,INE552Z01027,02-JUL-2024
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011,17-JUL-2013
ABINFRA,ABINFRA.NS,A B Infrabuild Limited,EQ,INE00YB01025,08-NOV-2024
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,EQ,INE14LE01019,23-JUN-2025
ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited,BE,INE251C01025,09-SEP-2021
ABMKNO,ABMKNO.NS,ABM Knowledgeware Limited,EQ,INE850B01026,20-APR-2026
ABREL,ABREL.NS,Aditya Birla Real Estate Limited,EQ,INE055A01016,27-JUN-2003
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024,11-OCT-2021
ACC,ACC.NS,ACC Limited,EQ,INE012A01025,20-NOV-1996
ACCELYA,ACCELYA.NS,Accelya Solutions India Limited,EQ,INE793A01012,01-DEC-1999
ACCURACY,ACCURACY.NS,Accuracy Shipping Limited,BE,INE648Z01023,11-DEC-2020
ACE,ACE.NS,Action Construction Equipment Limited,EQ,INE731H01025,26-SEP-2006
ACEINTEG,ACEINTEG.NS,Ace Integrated Solutions Limited,EQ,INE543V01017,04-NOV-2022
ACI,ACI.NS,Archean Chemical Industries Limited,EQ,INE128X01021,21-NOV-2022
ACL,ACL.NS,Andhra Cements Limited,EQ,INE666E01020,10-MAY-2023
ACMESOLAR,ACMESOLAR.NS,Acme Solar Holdings Limited,EQ,INE622W01025,13-NOV-2024
ACSTECH,ACSTECH.NS,ACS Technologies Limited,EQ,INE366C01021,20-APR-2026
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Limited,EQ,INE00FF01025,14-SEP-2021
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,EQ,INE931S01010,31-JUL-2015
ADANIENT,ADANIENT.NS,Adani Enterprises Limited,EQ,INE423A01024,04-JUN-1997
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,EQ,INE364U01010,18-JUN-2018
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,EQ,INE742F01042,27-NOV-2007
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,EQ,INE814H01029,20-AUG-2009
ADFFOODS,ADFFOODS.NS,ADF Foods Limited,EQ,INE982B01027,15-SEP-2010
ADL,ADL.NS,Archidply Decor Limited,EQ,INE0CHO01012,01-OCT-2020
ADOR,ADOR.NS,Ador Welding Limited,EQ,INE045A01017,10-MAY-1995
ADROITINFO,ADROITINFO.NS,Adroit Infotech Limited,EQ,INE737B01033,13-AUG-1997
ADSL,ADSL.NS,Allied Digital Services Limited,EQ,INE102I01027,25-JUL-2007
ADVAIT,ADVAIT.NS,Advait Energy Transitions Limited,EQ,INE0ALI01010,20-JAN-2026
ADVANCE,ADVANCE.NS,Advance Agrolife Limited,EQ,INE1B0W01010,08-OCT-2025
ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,EQ,INE199C01026,25-JUN-2007
ADVENTHTL,ADVENTHTL.NS,Advent Hotels International Limited,EQ,INE28GN01010,13-NOV-2025
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,EQ,INE837H01020,01-AUG-2016
AEGISLOG,AEGISLOG.NS,Aegis Logistics Limited,EQ,INE208C01025,03-APR-1996
AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Limited,EQ,INE0INX01018,02-JUN-2025
AEPL,AEPL.NS,Artemis Electricals and Projects Limited,BE,INE757T01025,12-MAR-2026
AEQUS,AEQUS.NS,Aequs Limited,EQ,INE947N01017,10-DEC-2025
AEROENTER,AEROENTER.NS,Aeroflex Enterprises Limited,EQ,INE065D01027,21-NOV-2022
AEROFLEX,AEROFLEX.NS,Aeroflex Industries Limited,EQ,INE024001021,31-AUG-2023
AERONEU,AERONEU.NS,Aeroflex Neu Limited,EQ,INE035801013,12-JAN-2023
AETHER,AETHER.NS,Aether Industries Limited,EQ,INE0BWX01014,03-JUN-2022
AFCONS,AFCONS.NS,Afcons Infrastructure Limited,EQ,INE101I01011,04-NOV-2024
AFFLE,AFFLE.NS,Affle 3i Limited,EQ,INE00WC01027,08-AUG-2019
AFFORDABLE,AFFORDABLE.NS,Affordable Robotic & Automation Limited,BE,INE692Z01013,23-OCT-2024
AFIL,AFIL.NS,Akme Fintrade (India) Limited,BE,INE916Y01027,26-JUN-2024
